WigleWifi-1.4,appRelease=2.26,model=EVA-L09,release=7.0,device=HWEVA,display=EVA-L09C576B383,board=EVA,brand=HUAWEI
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
ec:8c:a2:09:8c:38,Ariel_University,[ESS],2017-11-08 13:46:36,1,-84,32.10346036403221,35.20808062705461,705.8014017041513,3,WIFI
ec:8c:a2:08:7a:18,Ariel_University,[ESS],2017-11-08 13:46:36,1,-87,32.10346036403221,35.20808062705461,705.8014017041513,3,WIFI
ec:8c:a2:09:0c:cc,Ariel_University,[ESS],2017-11-08 13:46:38,44,-72,32.10346067593561,35.20805079662072,705.6680545345783,4,WIFI
ec:8c:a2:08:a9:3c,Ariel_University,[ESS],2017-11-08 13:46:38,36,-76,32.10346067593561,35.20805079662072,705.6680545345783,4,WIFI
ec:8c:a2:89:0c:c7,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:38,44,-72,32.10346067593561,35.20805079662072,705.6680545345783,4,WIFI
ec:8c:a2:88:a9:37,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:38,36,-77,32.10346067593561,35.20805079662072,705.6680545345783,4,WIFI
10:be:f5:39:8f:f2,LARISA,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:38,9,-89,32.10346067593561,35.20805079662072,705.6680545345783,4,WIFI
10:be:f5:a7:b4:f4,Home,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:38,9,-91,32.10346067593561,35.20805079662072,705.6680545345783,4,WIFI
ec:8c:a2:09:03:3c,Ariel_University,[ESS],2017-11-08 13:46:40,44,-76,32.103458647707846,35.20802712855773,705.569093841662,4,WIFI
ec:8c:a2:08:a9:38,Ariel_University,[ESS],2017-11-08 13:46:40,6,-86,32.103458647707846,35.20802712855773,705.569093841662,4,WIFI
ec:8c:a2:09:03:3c,Ariel_University,[ESS],2017-11-08 13:46:42,44,-71,32.1034627950422,35.207996093059045,705.4694890529917,4,WIFI
ec:8c:a2:89:03:37,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:42,44,-71,32.1034627950422,35.207996093059045,705.4694890529917,4,WIFI
ec:8c:a2:08:78:38,Ariel_University,[ESS],2017-11-08 13:46:46,1,-76,32.103463459845834,35.20795633410855,705.2089059414521,4,WIFI
ec:8c:a2:09:03:38,Ariel_University,[ESS],2017-11-08 13:46:46,1,-82,32.103463459845834,35.20795633410855,705.2089059414521,4,WIFI
ec:8c:a2:08:a9:28,Ariel_University,[ESS],2017-11-08 13:46:46,11,-91,32.103463459845834,35.20795633410855,705.2089059414521,4,WIFI
1c:b9:c4:12:90:bc,Ariel_University,[ESS],2017-11-08 13:46:46,40,-84,32.103463459845834,35.20795633410855,705.2089059414521,4,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],2017-11-08 13:46:48,36,-58,32.103468273681486,35.20793951647237,705.0692396001914,4,WIFI
00:1a:dd:f5:06:a4,,[ESS],2017-11-08 13:46:48,6,-74,32.103468273681486,35.20793951647237,705.0692396001914,4,WIFI
00:1a:dd:f5:06:a5,Afikim_Wifi,[ESS],2017-11-08 13:46:48,6,-75,32.103468273681486,35.20793951647237,705.0692396001914,4,WIFI
00:1a:dd:f5:06:a5,Afikim_Wifi,[ESS],2017-11-08 13:46:50,6,-67,32.10346995004855,35.20790680773113,704.8904898196647,4,WIFI
ec:8c:a2:08:7b:8c,Ariel_University,[ESS],2017-11-08 13:46:50,52,-83,32.10346995004855,35.20790680773113,704.8904898196647,4,WIFI
00:27:22:f3:bb:3a,,[ESS],2017-11-08 13:46:50,6,-85,32.10346995004855,35.20790680773113,704.8904898196647,4,WIFI
00:1a:dd:f5:06:a4,,[ESS],2017-11-08 13:46:52,6,-69,32.10347267091255,35.207876128422164,704.7037110798686,4,WIFI
ec:8c:a2:88:7a:17,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:52,36,-63,32.10347267091255,35.207876128422164,704.7037110798686,4,WIFI
ec:8c:a2:08:94:1c,Ariel_University,[ESS],2017-11-08 13:46:52,40,-81,32.10347267091255,35.207876128422164,704.7037110798686,4,WIFI
ec:8c:a2:08:a9:28,Ariel_University,[ESS],2017-11-08 13:46:54,11,-82,32.10347776313505,35.207840908454386,704.5174833294546,4,WIFI
ec:8c:a2:08:7b:8c,Ariel_University,[ESS],2017-11-08 13:46:54,52,-78,32.10347776313505,35.207840908454386,704.5174833294546,4,WIFI
ec:8c:a2:88:7b:87,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:54,52,-78,32.10347776313505,35.207840908454386,704.5174833294546,4,WIFI
ec:8c:a2:88:90:c7,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:54,36,-78,32.10347776313505,35.207840908454386,704.5174833294546,4,WIFI
ec:8c:a2:08:90:cc,Ariel_University,[ESS],2017-11-08 13:46:54,36,-78,32.10347776313505,35.207840908454386,704.5174833294546,4,WIFI
42507_10072_470809,HOT mobile,UMTS;il,2017-11-08 13:46:54,0,-113,32.10347776313505,35.207840908454386,704.5174833294546,4,GSM
ec:8c:a2:08:7b:8c,Ariel_University,[ESS],2017-11-08 13:46:56,52,-71,32.103482948247816,35.20781803551046,704.3588004954352,4,WIFI
ec:8c:a2:88:7b:87,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:56,52,-71,32.103482948247816,35.20781803551046,704.3588004954352,4,WIFI
ec:8c:a2:88:a9:27,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:56,44,-66,32.103482948247816,35.20781803551046,704.3588004954352,4,WIFI
1c:b9:c4:96:d2:87,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:46:56,44,-78,32.103482948247816,35.20781803551046,704.3588004954352,4,WIFI
ec:8c:a2:08:a9:2c,Ariel_University,[ESS],2017-11-08 13:46:56,44,-65,32.103482948247816,35.20781803551046,704.3588004954352,4,WIFI
ec:8c:a2:08:90:c8,Ariel_University,[ESS],2017-11-08 13:46:56,11,-87,32.103482948247816,35.20781803551046,704.3588004954352,4,WIFI
ec:8c:a2:08:a9:28,Ariel_University,[ESS],2017-11-08 13:46:58,11,-74,32.103489808028854,35.20778959968733,704.1993370290407,4,WIFI
ec:8c:a2:08:7b:8c,Ariel_University,[ESS],2017-11-08 13:46:58,52,-63,32.103489808028854,35.20778959968733,704.1993370290407,4,WIFI
4c:66:41:3f:b9:7a,AndroidAP,[WPA2-PSK-CCMP][ESS],2017-11-08 13:47:00,1,-92,32.10350206903752,35.207756616081866,704.0054418867652,4,WIFI
1c:b9:c4:16:f4:7c,Ariel_University,[ESS],2017-11-08 13:47:02,36,-83,32.10351035508771,35.207737494685134,703.7824176369427,4,WIFI
ec:8c:a2:08:7a:18,Ariel_University,[ESS],2017-11-08 13:47:04,1,-79,32.10351663035122,35.20771992273023,703.5047257308157,4,WIFI
4c:66:41:3f:b9:7a,AndroidAP,[WPA2-PSK-CCMP][ESS],2017-11-08 13:47:04,1,-85,32.10351663035122,35.20771992273023,703.5047257308157,4,WIFI
ec:8c:a2:08:7b:88,Ariel_University,[ESS],2017-11-08 13:47:06,1,-80,32.1035196169877,35.207717593120854,703.1859412273261,4,WIFI
ec:8c:a2:08:7a:18,Ariel_University,[ESS],2017-11-08 13:47:08,1,-74,32.10352099082883,35.207726863081305,702.8270638104916,4,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],2017-11-08 13:47:10,44,-77,32.10352097076219,35.207720789962984,702.6376782788639,4,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],2017-11-08 13:47:10,11,-87,32.10352097076219,35.207720789962984,702.6376782788639,4,WIFI
1c:b9:c4:16:f4:78,Ariel_University,[ESS],2017-11-08 13:47:10,1,-89,32.10352097076219,35.207720789962984,702.6376782788639,4,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],2017-11-08 13:47:12,11,-78,32.1035201580338,35.20771571914922,702.3300767904905,4,WIFI
58:70:c6:00:ab:aa,YICarCam_00abaa,[WPA2-PSK-CCMP][WPS][ESS],2017-11-08 13:47:14,5,-87,32.103520699767785,35.20770929854888,702.1808838320363,3,WIFI
ec:8c:a2:26:ae:28,Ariel_University,[ESS],2017-11-08 13:47:14,11,-84,32.103520699767785,35.20770929854888,702.1808838320363,3,WIFI
42507_10072_480148,HOT mobile,HSPA;il,2017-11-08 13:47:14,0,-113,32.103520699767785,35.20770929854888,702.1808838320363,3,GSM
58:70:c6:00:ab:aa,YICarCam_00abaa,[WPA2-PSK-CCMP][WPS][ESS],2017-11-08 13:47:18,5,-81,32.10351658541745,35.207651168935186,701.7757771100958,4,WIFI
f8:d1:11:77:77:fc,TP-LINK_7777FC,[ESS],2017-11-08 13:47:18,1,-89,32.10351658541745,35.207651168935186,701.7757771100958,4,WIFI
1c:b9:c4:16:f4:7c,Ariel_University,[ESS],2017-11-08 13:47:18,36,-77,32.10351658541745,35.207651168935186,701.7757771100958,4,WIFI
ec:8c:a2:26:ae:28,Ariel_University,[ESS],2017-11-08 13:47:20,11,-73,32.10352374804154,35.20760437864815,701.5363852539251,4,WIFI
4c:66:41:3f:b9:7a,AndroidAP,[WPA2-PSK-CCMP][ESS],2017-11-08 13:47:20,1,-77,32.10352374804154,35.20760437864815,701.5363852539251,4,WIFI
3c:bb:fd:01:79:17,AndroidAP,[WPA2-PSK-CCMP][ESS],2017-11-08 13:47:20,6,-90,32.10352374804154,35.20760437864815,701.5363852539251,4,WIFI
ec:8c:a2:0a:08:bc,Ariel_University,[ESS],2017-11-08 13:47:20,44,-73,32.10352374804154,35.20760437864815,701.5363852539251,4,WIFI
4c:66:41:3f:b9:7a,AndroidAP,[WPA2-PSK-CCMP][ESS],2017-11-08 13:47:22,1,-72,32.10351799425808,35.20757943344506,701.203798597289,4,WIFI
